0	[0.01801837074570422, 0.054543276486768995, 0.02134722279355831, 0.04451908164503115, 0.07840203615785274, 0.21518877453507004, 0.1254910867130725, 0.03762048225874982, 0.0230860100312122, 0.05881956990807608, 0.1299279976016738, 0.5524019077861676, 0.12896180027390108, 0.09141144269303059, 0.15890233896524109, 0.0685852316660623, 0.015109077766601068, 0.19855447033692294, 0.2069233064239908, 0.0833697091048199, 0.06964861872698319, 0.09389434485381395, 0.07690282590492299, 0.16001453108252378, 0.08064699822839284, 0.023349370940196817, 0.3365161122208279, 0.07641630949839284, 0.08580380535757842, 0.06847733474763734, 0.3400430207350063, 0.13876581045653374, 0.0590517672819416, 0.05508454626198538, 0.07433441367877153, 0.351082918121679, 0.03404701029664471, 0.10676480776214661, 0.00010792746570675121, 0.027131284355513197, 0.06788923892914368, 0.023473426017953988, 0.23843416692522135, 0.051085630355423385, 0.0496621231989931, 0.13190267668554756, 0.17199668461909698, 0.22439182296483642, 0.3445993187106982, 0.13643643098325361, 0.007295150851964933, 0.467514103090807, 0.12684208207570655, 0.055008238512972464, 0.03612536084201599, 0.3721703526063667, 0.00012921242970941648, 0.047694332540667086, 0.026497151274531644, 0.021347164331033817, 0.011044961926973152, 0.02670583554605716, 0.03931945897288933, 0.027072835522570015, 0.13935939386268764, 0.005917587410814207, 0.1868232468629247, 0.30384424844184715, 0.08758058834824274, 0.0535263553025306, 0.20450878848266096, 0.13026945362784795, 0.025582835855374464, 0.258935080453845, 0.11843477353550276, 0.13549013776957247, 0.14024438393645025, 0.1207313730776028, 0.010913562252233576, 0.3526118338717517, 0.21666076683426352, 0.5464804031067453, 0.11178133031716916, 0.36685797568843104, 0.1871760320352318, 0.2061589024635386, 0.015397466225188198, 0.08893163622201956, 0.4159736818554789, 0.29703946742399345, 0.18097285835102164, 0.013346490491525502, 0.018396396110514447, 0.015247119112505307, 0.16576689723919394, 0.00866651582846696, 0.026386806763136456, 0.15649626447541898, 0.0012693931751078392, 0.14407538330787725]
1	[0.4266208646824715, 0.07626270978478575, 0.02239473450011236, 0.25526102391907507, 0.10448493120165246, 0.008324603830680264, 0.11518504477448167, 0.2511551640540118, 0.27695581858381924, 0.09129133881079843, 0.10917061892528439, 0.22733993942717068, 0.4215860764270584, 0.01753856089403583, 0.23596828053274543, 0.048654345988080536, 0.02835151410453414, 0.08823072984551275, 0.3124947202516081, 0.011034261986103642, 0.07254222103163296, 0.011109631584341322, 0.020602059584457086, 0.16021356223377492, 0.1785261039350271, 0.021999199026426403, 0.004808211518573041, 0.23552335432276428, 0.0009410430433152066, 0.1760758458634442, 0.3275317401182777, 0.5516036424918337, 0.09037644064245329, 0.10602433684882184, 0.12830191438510077, 0.3908748978490609, 0.2043502487954999, 0.2100522639823376, 0.38270010982808256, 0.05517010253792391, 0.1365192371926658, 0.0019337025444976213, 0.29658398048665635, 0.2151774566214925, 0.10062658584467134, 0.12753475009568185, 0.20388989689201328, 0.03548524224161308, 0.005273137958118161, 0.18102209225354282, 3.091618563802638e-05, 0.053049221214473245, 0.036900434334667415, 0.0087327868339777, 0.3660310034834772, 0.1664418129742994, 0.3413011273337661, 0.00785328013894047, 0.01933809442204415, 0.2438817414107271, 0.2731504323234642, 0.09096512844036055, 0.09797552169621555, 0.06784412517264242, 0.0011062934302665897, 0.11689332521659367, 0.06931100883657082, 0.030982345342600574, 0.05560407197951831, 0.11363744649775169, 0.16619114255667222, 0.0012547645059233037, 0.10508726753813734, 0.08745201596225508, 0.1917617298154843, 0.07569863497309307, 0.09810105973691353, 0.13634739755969086, 0.03772427979320986, 0.4828144082686403, 0.5598570890129284, 0.34840767031698383, 0.04067053309484019, 0.2074573428071788, 0.22598416471858518, 0.030608044388879874, 0.011737476791610007, 0.01515828387672959, 0.539001863713929, 0.049828971244180884, 0.051118618547275584, 0.04011930286259973, 0.022805559566678565, 0.00792860695310107, 0.20569490247586167, 0.4597514168681335, 0.09269895814758501, 0.36454117625969223, 0.03981865621965637, 0.05798541016011184]
2	[0.3044688021763858, 0.2008221418021296, 0.11891426044762848, 0.03255538206983747, 0.11475716540195642, 0.04644248302111512, 0.10114315902192506, 0.06784860022081753, 0.048963199820048285, 0.004644789872465042, 0.19656986720957817, 0.006664189903569974, 0.0126429252724063, 0.06402952635711652, 0.02692245489348658, 0.049821622792036335, 0.5306249028541321, 0.1166069881243976, 0.20373486822879566, 0.1462091762176832, 0.1018040221156219, 0.21181042939898734, 0.09942715653047081, 0.02730361264787268, 0.0828356350638652, 0.45621054230845753, 0.09200783552465913, 0.15874090638370597, 0.08568876720601418, 0.06941337842146447, 0.07617816530527662, 0.2082567537986518, 0.02301860018886723, 0.1292647704610131, 0.27510251785901263, 0.09111071300466471, 0.15251149071174336, 0.07247868335034542, 0.15081307337760388, 0.002323692657071429, 0.4094565314387621, 0.15127768726685156, 0.053438880211135464, 0.49151086518119924, 0.045211688344359235, 0.1886548522719689, 0.07434590608801557, 0.1613732401039344, 0.03111172320616872, 0.02100604616452121, 0.24856883406944874, 0.31151853245621197, 0.12223343208094702, 0.005953476255337712, 0.2458367642775105, 0.1325586008539747, 0.01874812928784467, 0.006825833847974726, 0.02508487337630068, 0.10275841873803833, 0.2636234976151489, 0.22996571139138397, 0.3047757753427362, 0.040754853883521604, 0.31115187445821446, 0.19831984724706406, 0.0003198016357026183, 0.10891874715647687, 0.0009779797218761863, 0.08870551313584757, 0.12172632242243796, 0.10598562005793585, 0.15847121994161067, 0.05480071207212462, 0.0016076996105947867, 0.019980660896723946, 0.20329703804466379, 0.19965804973374957, 0.02856406039956661, 0.4602846057342174, 0.26027576468750335, 0.15969342809468798, 0.033910960069878614, 0.25249053090836054, 0.286209492554854, 0.10238057005022816, 0.13016684354496044, 0.037342908541294434, 0.34964217858508756, 0.1718019886806619, 0.11839067035562731, 0.005337236252271664, 0.39204472691789205, 0.11270789178925592, 0.01666969374123555, 0.07192593445344468, 0.3629206104605776, 0.449309272094439, 0.4105957363344146, 0.16470814350203597]
3	[0.18414461627956052, 0.04635177201836127, 0.362431930234656, 0.147140911733502, 0.2615565039108086, 0.5017117963840056, 0.013991905388580573, 0.4954842393506706, 0.11598122419183832, 0.10377803883028262, 0.12743656785521748, 0.0014373916225404655, 0.3765825860374518, 0.32861664308254057, 0.16321556167795925, 0.3103514442609693, 0.4100651623286101, 0.06712999566866554, 0.1794909057363331, 0.14041048176387855, 0.07851434943354761, 0.021992435390733946, 0.03268015775698451, 0.014220610815618255, 0.14221873894838102, 0.1522713344935837, 0.15020290727841898, 0.0691918178135898, 0.005403661109663506, 0.12134306837595504, 0.22989233794279362, 0.17895208155676362, 0.0855452786772883, 0.0004935099837138818, 0.002562259541218856, 0.2563505494104191, 0.15396566454176408, 0.011994591786389756, 0.31687272567468533, 0.2693220949703233, 0.04435127303217825, 0.16395237516237354, 0.32828966028919276, 0.008584214539504035, 0.37195087443195174, 0.3118088229618572, 0.12231718253644683, 0.11103387599743633, 0.4422351422507872, 0.04207722167919823, 0.1683618799028424, 0.0054444142645426, 0.2669154483613313, 0.06083863661830804, 0.0033889505757367356, 0.025023125452739273, 0.0028312245078698194, 0.29510498531600954, 0.030994677495948555, 0.2243095274184001, 0.0020690857382421124, 0.009673356563980317, 0.30257432656476657, 0.37690082928090396, 0.31405090698415145, 0.3481668732010603, 0.07277447066487373, 0.385387405659933, 0.05199814572385338, 0.05170835647310168, 0.07333632986317751, 0.35921206610212003, 0.19872967213875292, 0.04723627438063014, 0.22395423440046863, 0.06879531428298152, 0.058313947862947565, 0.14835902908968482, 0.07773916102448974, 0.01469270575050189, 0.055035899341273606, 0.33934071528781895, 0.15698604044316958, 0.3072154027796518, 0.06903415746526076, 0.43930921174946796, 0.030774496993034393, 0.056322451227022466, 0.11429403980518066, 0.0011139758242313816, 0.213951706209046, 0.2575012752723818, 0.13938225366154006, 0.10778727124711246, 0.19265483983902648, 0.03658940124621229, 0.30865220110896885, 0.06160814760031214, 0.049827637579897124, 0.06041608667221291]
4	[0.27896016435000753, 0.018917614234753577, 0.04434779310574417, 0.05351181826512066, 0.15677490215672957, 0.12022265037779357, 0.026502302806090016, 0.20706518774075564, 0.09773494761359955, 0.1749951327530177, 0.08279894957489602, 0.06639823038546214, 0.22666944290071625, 0.08823561319341942, 0.06078038590301809, 0.08155474807165737, 0.4240199323289713, 0.4013052646050619, 0.017855395130607393, 0.21603240415241806, 0.02334143366131045, 0.01588357626702999, 0.0029514750935489744, 0.3815455382614042, 0.31356541764422535, 0.023589262073249233, 0.14620988406773797, 0.20547681646887525, 0.11390514180269892, 0.002123751474345379, 0.022945089697192084, 6.329474480305637e-05, 0.05304795112822564, 0.24378074535384714, 0.06890284337834919, 0.013167539291509158, 0.4519212540884586, 0.09498211907236324, 0.035772327769785714, 0.4814179799940963, 0.09079936534656495, 0.16564781453436309, 0.3101634026908654, 0.1197006431523964, 0.09566616757525734, 0.19748049743780596, 0.2274696627305534, 0.05678993585266655, 0.15967080179319346, 0.005953474897451448, 0.3320814965618362, 0.0008453636161600081, 0.1991180270772086, 0.13160555629518395, 0.2298300711732374, 0.00232530122580713, 0.007926373636866772, 0.003476636374512982, 0.1711562227570397, 0.04758994719503792, 0.22959383684116846, 0.3043681293335192, 0.014191806568070923, 0.18673414413376838, 0.11579811948492184, 0.1531459830594263, 0.10344732320356197, 0.026280891927505243, 0.0001551537128582418, 0.12184125758634007, 0.23414279533383175, 0.21434953150681302, 0.20299110419387315, 0.005409342326235662, 0.03316571269615664, 0.3335091360220495, 0.33757042288871075, 0.026998786717056793, 0.016741149329363714, 0.19755222774546594, 0.023549586799541066, 0.12899686641398478, 0.022196873144284524, 0.028596312225930568, 0.29691969718824324, 0.3245427801450819, 0.31080537538459374, 0.15831072769073185, 0.0674555317118437, 0.0870511648021636, 0.2114247568381687, 0.0783500818763241, 0.015774658415300936, 0.10025168093372079, 0.009599664615201849, 0.23494154503797768, 0.13930945775359813, 0.3799226708826027, 0.2851530709434378, 0.23914160658160552]
5	[0.2937979877665248, 0.0005269886086611663, 0.204645121679766, 0.0873780610772447, 0.0553774215678186, 0.08549070365612987, 0.013307087481865248, 0.12320973044049305, 0.4422509020309352, 0.09330173592212077, 0.015518020308263969, 0.013019020514185424, 0.10945368771240217, 0.0021581724103479963, 0.009340865144475026, 0.07978070767628002, 0.09871556243177564, 0.023408899366297076, 0.24010575599870634, 0.03636488897375798, 0.08480226824314381, 0.0012016599150855567, 0.16721247925942176, 0.0524513416136645, 0.01470245172718214, 0.1170406528954904, 0.31264913539760597, 0.20998619692780646, 0.03245590697630469, 0.11621759318659376, 0.2564092163292227, 0.11480213920045808, 0.049602753266795786, 0.12459655234643287, 0.011461989116228774, 0.40439070776037134, 0.08411287780152907, 0.01059741717400215, 0.345338898894038, 0.18886623811892098, 0.015755710500235786, 0.04636710228522708, 0.081703999975462, 0.21593770021963027, 0.1913415745919899, 0.004424340156926489, 0.06252340468946677, 0.33042575700230115, 0.08303775161460838, 0.03273841266472457, 0.007489974616334773, 0.16661795931819046, 0.0022723962188246696, 0.08369096607523727, 0.01546429423544121, 0.00021307928128863984, 0.2874177310304553, 0.3723411188724119, 0.01186363011622556, 0.17200504896433585, 0.002943163477385013, 0.34277473877543524, 0.40941378018352476, 0.08646586593389238, 0.11160559986362809, 0.09884145864139955, 0.2721405393595888, 0.07137722847768464, 0.11841237339936474, 0.2728923916137675, 0.1048326660341968, 0.009124794312106187, 0.12839123873821612, 0.0004375826408126082, 0.38900274170434457, 0.1566113255322761, 0.01924239558396756, 0.17719845738428877, 0.29598443748262504, 0.04292619775795831, 0.17841532016807413, 0.027084273188872836, 0.20643436438420626, 0.137397686600931, 0.39125409641736963, 0.15649001909036356, 0.19765433650492348, 0.34071753808194316, 0.14125989435280123, 0.056861165785885584, 0.36634791232467334, 0.03342181357822397, 0.2085479592145187, 0.0037941207652896066, 0.033063158015084936, 0.10642509463810325, 0.2767390805706567, 0.12083189530456355, 0.016387826108255385, 0.031021560922847052]
6	[0.06397852037694515, 0.022582303183473686, 0.10170002964103612, 0.34307787268287093, 0.11900591684881062, 0.005211944302346025, 0.2757442314803617, 0.004364647922649515, 0.22785545914476052, 0.14471418800053484, 0.012534678672493724, 0.1364832291853471, 0.12278749743897202, 0.013904113927129964, 0.17863397987027685, 0.17920560215810355, 0.007535119527237246, 0.16996746564032847, 0.03855179423315461, 0.3765259262102643, 0.12706641603033467, 0.06665273486081326, 0.16284077751370146, 0.32209268600843044, 0.12090599236063243, 0.5174872440128517, 0.2856181834884404, 0.045084910586635496, 0.054554424518620054, 0.45554159009590367, 0.1199306574803829, 0.39066663894338904, 0.07489982517352366, 0.2767609303039844, 0.16751017997172155, 0.18340994875866357, 0.11031925735144243, 0.5766056439857699, 0.1041792941721817, 0.10524339534631925, 0.11459400363415954, 0.3776502912139117, 0.11177981903442219, 0.3010225381247865, 0.16673328013078206, 0.44436472812716643, 0.07512848304857676, 0.05061514051969392, 0.0418871350709485, 0.2570592817141116, 0.15911080960642182, 0.09946347623255027, 0.047310090754448336, 0.13134616867333038, 0.0855101489767039, 0.016076172229091606, 0.07532080523872929, 0.37416455849925717, 0.1518272152850882, 0.16826177487973054, 0.0931664134952906, 0.38780353753581787, 0.10904898528916662, 0.00012863404969834505, 0.15618027330607615, 0.20910168489225436, 0.012801954710000289, 0.13440824022661366, 0.018591714450741897, 0.2249519013667081, 0.07667253968371221, 0.14454925590693415, 0.3109299876853622, 0.0031263735693576305, 0.044724881728916144, 0.4252157633729745, 0.05215465518017935, 0.1938508676088169, 0.12040153775161927, 0.14973190206683107, 0.12570331499800472, 0.19128494267145676, 0.08744603403798674, 0.06749920960706121, 0.055508059335167906, 0.06912889513624254, 0.01388710265177011, 0.024992025239657024, 0.10612930269100086, 0.10545093974283082, 0.12222997730221385, 0.25220237541881874, 0.11354058650628175, 0.007851131353265756, 0.44733263787994804, 0.02904790679328307, 0.07036219384667072, 0.04045170428128694, 0.028048440994760244, 0.07425796614431214]
7	[0.10152887491844248, 0.06243312155011129, 0.30587403819176046, 0.22377296825770956, 0.05102703304680182, 0.060550928906441225, 0.011182860033101713, 0.37044473389760846, 0.27219472042845344, 0.08210782295636707, 0.050470098550101115, 0.39186141877326064, 0.29084781152467365, 0.10703756148974891, 0.07079838343715357, 0.24594429596519152, 0.12484587813973144, 0.05943088206540042, 0.01879481481576666, 0.21120963047594193, 0.12364085696456673, 0.03438106884868609, 0.0006240387291825659, 0.02989262528606007, 0.015132972055514718, 0.1446065287254975, 0.0675647815437362, 0.255703861524222, 0.0037046836281875613, 0.18391589821723364, 0.0237734266027698, 0.10879505701147284, 0.030140134911585424, 0.10212904558210574, 0.011147697640649322, 0.007066913637468478, 0.41022599533886667, 0.07487345302016762, 0.32875638006934543, 0.07426397288653618, 0.18614655426536553, 0.2402617331476017, 0.03992869360195355, 0.008446629925196143, 0.004141399455969228, 0.31295932715523944, 0.09373945750314877, 0.009457758575317462, 0.06272200942067482, 0.026582294560682423, 0.06576132428083634, 0.16789683839095482, 0.1996305307179854, 0.12475234805884286, 0.25478584944227783, 0.07661988414291397, 0.09341954211177421, 0.5026781191438835, 0.10736173171605624, 0.10046923664331318, 0.13743675795569946, 0.1950859793690255, 0.23421852054602255, 0.03003690878959987, 0.08979123599723408, 0.21165681548254878, 0.3256651717608303, 0.11498287059663238, 0.05671323339680983, 0.00021764430267485078, 0.1093042791286635, 0.2682333888661125, 0.23405286997735358, 0.15048685381251653, 0.005568945105214652, 0.23792147655639323, 0.04009482954175815, 0.4375642544553924, 0.1258466594072221, 0.10197415435997723, 0.18398699623174553, 0.11520265233688098, 0.06527620593693634, 0.1568367978735308, 0.13615817097908545, 0.17751979812142038, 0.07731285156371395, 0.028052174867902395, 0.038772158114546026, 0.2168081383342285, 0.2816125557684074, 0.01730987997413691, 0.2617280058582744, 0.011883719234975674, 0.0752279695282104, 0.047969776841588124, 0.0137944786268352, 0.08385444635449248, 0.11759335316367436, 0.10317416367990417]
8	[0.39014557829507973, 0.10248919249925893, 0.02648947556899655, 0.2057360379930937, 0.13901047608001835, 0.3060848392028899, 0.23576310219979882, 0.038089555320160506, 0.08308738753298138, 0.11808339902490353, 0.03262624214431185, 0.08176513420828692, 0.10898037327287804, 0.2941248289299337, 0.005724358463444776, 0.11290746683895843, 0.09326849121924422, 0.05097882323391482, 0.005687972967530141, 0.2977924682562774, 0.2502810012372604, 0.03626080089549723, 0.11178821747734818, 0.09082734182232477, 0.1174481207526371, 0.011684296576900696, 0.21106053575808317, 0.544245080162332, 0.07777535313550403, 0.10873109517351669, 0.017118289995659616, 0.38570953520518325, 0.34092554603934333, 0.16597223937155425, 0.14403261331461148, 0.004057891610883895, 0.003311871917358939, 0.0778044880406329, 0.013478256562606993, 0.03426692010352719, 0.18335244008800772, 0.00037715281848940484, 0.005437804801900813, 0.13519372350682665, 0.0063310379737461266, 0.12171877407643783, 0.1797654600145639, 0.14242270756860362, 0.03450199123561044, 0.008342230267021895, 0.18135433084570518, 0.41621833735744385, 0.327997161533267, 0.37916365662584023, 0.0106857800497788, 0.3159361639633339, 0.19848665687276365, 0.0005128752683097498, 0.2681666994424554, 0.019747086115243638, 0.08725673978993058, 0.1419278155396555, 0.07831145424664834, 0.3663347040508239, 0.39507152573336013, 0.19922124307373537, 0.04065548726290604, 0.08713305455994146, 0.06833784675144224, 0.03480557293457021, 0.09113439649259315, 0.06305404924096125, 0.1850449952546194, 0.024907869582180657, 0.014623973224934694, 0.2566101616086035, 0.06972680415270283, 0.21495264492485616, 0.12968312477900826, 0.04776195896549265, 0.1240136343261278, 0.10714883349803311, 0.13645153134845242, 0.11093124285029152, 0.07766225368774579, 0.03636774180305942, 0.059317150496159814, 0.0301742177929484, 0.0069356995710992166, 0.07151341787844995, 0.18684622075033866, 0.18168975677063073, 0.009654702263399826, 0.016747868422792446, 0.10141826961386569, 0.0953538902639622, 0.17147967260195773, 0.07311119629970815, 0.2531435120872563, 0.10806560166340247]
9	[0.08269442156760447, 0.06646044291973421, 0.11130122255429756, 0.19943771876373098, 0.3746814561177453, 0.35693577278533284, 0.09400855426008764, 0.009496676025362263, 0.4343691411882062, 0.1749318785016351, 0.2653895097311681, 0.5084866798098345, 0.23145967049837365, 0.43304193234022387, 0.1335557885910967, 0.23688088087980388, 0.2284799822800809, 0.16234137492628473, 0.07213201095316797, 0.06743050579921252, 0.10264255127529849, 0.012419147960202511, 0.35404399986861473, 0.03826968766258309, 0.0233228833791799, 0.463211913734723, 0.08189372697882814, 0.2243760981788743, 0.13991048908333328, 0.04846387724444715, 0.18178396527165314, 0.0594439546759362, 0.5244373815164506, 0.20210847297774817, 0.5128765826669206, 0.2084887501170268, 0.13994328217862795, 0.05746315738531658, 0.07591974320303072, 0.15854420187491897, 0.0027608226944756875, 0.005191556729696007, 0.09734194035079548, 0.27699673931481616, 0.009364241593175273, 0.2135723727603405, 0.03245523201455584, 0.09649753596874974, 0.10909516777602823, 0.01358031514688994, 0.30685455417402246, 0.09159289576872813, 0.031785002573104064, 0.012758936763425162, 0.10478502868481741, 0.16876481869425136, 0.17810194542608174, 0.11858076898336704, 0.07734334863765303, 0.06176631071081617, 0.01793749036344394, 0.22818896470134514, 0.17767741074634258, 0.03431328513726707, 0.24158311078205288, 0.056936371529219536, 0.05910682915863557, 0.03882121012086226, 0.2253499528391429, 0.24645600177320418, 0.02355841474947028, 0.24016327215645983, 0.04265332399242494, 0.21176642655410946, 0.28346426622044807, 0.4604819327228572, 0.23845637933602915, 0.30472575243110134, 0.020182611073501035, 0.332951062450526, 0.002559967599472532, 0.026375388873330498, 0.0034148802928001022, 0.290026050633521, 0.04671632326807159, 0.24314681219572523, 0.12465122649397298, 0.05766668070606844, 0.04485850819217034, 0.07578643413388243, 0.26857354086784613, 0.044573057323261826, 0.3295387786940983, 0.18048678646316693, 0.45187228152307796, 0.0093971373451458, 0.18769200644367406, 0.14004360435362379, 0.22236670976416992, 0.05181579899121286]
